名	语种	原名	作者页	作品	页数	字数	状态
易卜生	de	Henrik Ibsen	Seite:Hermann von Bezzel - Zeitbetrachtung.pdf/16	works5	5	163519	ok
斯特林堡	de	August Strindberg	Seite:Die Fackel Nr. 301–302.djvu/1	works11	11	107495	ok
汉姆生	de	Knut Hamsun	Seite:LA2-Blitz-0149.jpg	works10	10	1040893	ok
卡伦·布里克森	de	Karen Blixen (Isak Dinesen)		无作者页	0	0	未找到
显克维奇	de	Henryk Sienkiewicz	Seite:LA2-Blitz-0349.jpg	works10	10	923179	ok
昆德拉	fr	Milan Kundera		无作者页	0	0	未找到
赫拉巴尔	de	Bohumil Hrabal		无作者页	0	0	未找到
米沃什	de	Czesław Miłosz		无作者页	0	0	未找到
辛波斯卡	de	Wisława Szymborska		无作者页	0	0	未找到
布鲁诺·舒尔茨	de	Bruno Schulz	Seite:Hochschullehrer1914.djvu/6	works2	2	89721	ok
贡布罗维奇	de	Witold Gombrowicz		无作者页	0	0	未找到
塞万提斯	es	Miguel de Cervantes	Página:Teatro completo de Miguel de Cervantes Saavedra - Biblioteca Clásica CXCIX.pdf/17	works31	81	4009091	ok
无名氏《小癞子	es	Lazarillo de Tormes（佚名）		无作者页	0	0	未找到
贡戈拉	es	Luis de Góngora	Página:Rojeces de Marte.djvu/11	works5	5	20198	ok
克维多	es	Francisco de Quevedo	Página:Obras satíricas y festivas de D. Francisco de Quevedo Villegas. Biblioteca Clásica XXXIII.pdf/572	works39	91	3050671	ok
卡尔德隆	es	Pedro Calderón de la Barca	Página:Ensayosdecritica00zayauoft.djvu/287	works3	0	0	空
索尔·胡安娜	es	Sor Juana Inés de la Cruz	Página:Mujeres célebres de México.pdf/195	works37	37	161834	ok
加尔多斯	es	Benito Pérez Galdós	Página:Mis contemporaneos.djvu/51	works1	57	154270	ok
克拉林	es	Leopoldo Alas «Clarín»	Página:Ariel (1919).djvu/231	works1	8	153989	ok
埃萨·德·凯罗斯	pt	Eça de Queirós	Autor:Eça de Queirós	works54	248	7294065	ok
马查多·德·阿西斯	pt	Machado de Assis	Autor:Machado de Assis	works150	1129	6792167	ok
鲁文·达里奥	es	Rubén Darío	Página:Rubén Darío.djvu/5	works1	1	3306	ok
基罗加	es	Horacio Quiroga	Página:Horacio Quiroga - Los desterrados (1926).pdf/9	works29	31	262812	ok
乌纳穆诺	es	Miguel de Unamuno	Página:El Cristo de Velázquez. Poema de Miguel de Unamuno (1920).djvu/9	works38	75	411145	ok
巴列-因克兰	es	Ramón del Valle-Inclán	Página:Canciones en la noche.djvu/13	works19	30	180834	ok
安东尼奥·马查多	es	Antonio Machado	Página:Antonio Machado - Poesías completas - bdh0000252161.pdf/8	works40	40	47972	ok
